R_fighter,B_fighter,Winner
Sarah Moras,Lucie Pudilova,Blue
Alexander Volkanovski,Jeremy Kennedy,Red
Rob Wilkinson,Israel Adesanya,Blue
Mark Hunt,Curtis Blaydes,Blue
Tyson Pedro,Saparbeg Safarov,Red
Damien Brown,Dong Hyun Ma,Blue
Tai Tuivasa,Cyril Asker,Red
Yoel Romero,Luke Rockhold,Red
Jake Matthews,Li Jingliang,Red
Luke Jumeau,Daichi Abe,Red
Ross Pearson,Mizuto Hirota,Red
Teruto Ishihara,Jose Quinonez,Blue
Jussier Formiga,Ben Nguyen,Red
Timothy Johnson,Marcelo Golm,Red
Michel Prazeres,Desmond Green,Red
Thiago Santos,Anthony Smith,Red
Valentina Shevchenko,Priscila Cachoeira,Red
Sergio Moraes,Tim Means,Red
Douglas Silva de Andrade,Marlon Vera,Red
Alan Patrick,Damir Hadzovic,Red
Lyoto Machida,Eryk Anders,Red
Maia Stevenson,Polyana Viana,Blue
Iuri Alcantara,Joe Soto,Red
Deiveson Figueiredo,Joseph Morales,Red
Jordan Rinaldi,Gregor Gillespie,Blue
Jacare Souza,Derek Brunson,Red
Mirsad Bektic,Godofredo Pepey,Red
Dennis Bermudez,Andre Fili,Blue
Katlyn Chookagian,Mara Romero Borella,Red
Drew Dober,Frank Camacho,Red
Randa Markos,Juliana Lima,Red
Erik Koch,Bobby Green,Blue
Niko Price,George Sullivan,Red
Vinc Pichel,Joaquim Silva,Red
Justine Kish,Ji Yeon Kim,Blue
Austin Arnett,Cory Sandhagen,Blue
Gian Villante,Francimar Barroso,Red
Calvin Kattar,Shane Burgos,Red
Stipe Miocic,Francis Ngannou,Red
Dustin Ortiz,Alexandre Pantoja,Red
Daniel Cormier,Volkan Oezdemir,Red
Thomas Almeida,Rob Font,Blue
Kyle Bochniak,Brandon Davis,Red
Sabah Homasi,Abdul Razak Alhassan,Blue
Matt Bessette,Enrique Barzola,Blue
Dan Ige,Julio Arce,Blue
Islam Makhachev,Gleison Tibau,Red
Matt Frevola,Marco Polo Reyes,Blue
Kyung Ho Kang,Guido Cannetti,Red
James Krause,Alex White,Red
Darren Elkins,Michael Johnson,Red
Kamaru Usman,Emil Meek,Red
Jeremy Stephens,Dooho Choi,Red
Paige VanZant,Jessica-Rose Clark,Blue
Talita Bernardo,Irene Aldana,Blue
Mads Burnell,Mike Santiago,Red
Danielle Taylor,JJ Aldrich,Blue
Kalindra Faria,Jessica Eye,Blue
Khabib Nurmagomedov,Edson Barboza,Red
Cristiane Justino,Holly Holm,Red
Dan Hooker,Marc Diakiese,Red
Marvin Vettori,Omari Akhmedov,Draw
Cynthia Calvillo,Carla Esparza,Blue
Myles Jury,Rick Glenn,Red
Khalil Rountree Jr.,Michal Oleksiejczuk,Draw
Carlos Condit,Neil Magny,Blue
Louis Smolka,Matheus Nicolau,Blue
Tim Elliott,Mark De La Rosa,Red
Julian Marquez,Darren Stewart,Red
Ricardo Lamas,Josh Emmett,Blue
Glover Teixeira,Misha Cirkunov,Red
Chad Laprise,Galore Bofando,Red
Robbie Lawler,Rafael Dos Anjos,Blue
Nordine Taleb,Danny Roberts,Red
Jared Cannonier,Jan Blachowicz,Blue
Santiago Ponzinibbio,Mike Perry,Red
Alessio Di Chirico,Oluwale Bamgbose,Red
John Makdessi,Abel Trujillo,Red
Jordan Mein,Erick Silva,Red
Luke Sanders,Andre Soukhamthath,Blue
Eryk Anders,Markus Perez,Red
Jason Knight,Gabriel Benitez,Blue
Albert Morales,Benito Lopez,Blue
Scott Holtzman,Darrell Horcher,Red
Marlon Moraes,Aljamain Sterling,Red
Cub Swanson,Brian Ortega,Blue
Alexis Davis,Liz Carmouche,Red
Frankie Saenz,Merab Dvalishvili,Red
Chris Gruetzemacher,Davi Ramos,Blue
Alejandro Perez,Iuri Alcantara,Red
Carls John De Tomas,Alex Perez,Blue
Antonio Braga Neto,Trevin Giles,Blue
Henry Cejudo,Sergio Pettis,Red
David Teymur,Drakkar Klose,Red
Alistair Overeem,Francis Ngannou,Blue
Tecia Torres,Michelle Waterson,Red
Max Holloway,Jose Aldo,Red
Charles Oliveira,Paul Felder,Blue
Alex Oliveira,Yancy Medeiros,Blue
Eddie Alvarez,Justin Gaethje,Red
Sabah Homasi,Abdul Razak Alhassan,Blue
Jeremy Kimball,Dominick Reyes,Blue
Justin Willis,Allen Crowder,Red
Amanda Cooper,Angela Magana,Red
Felice Herrig,Cortney Casey,Red
Eric Spicely,Gerald Meerschaert,Blue
Barb Honchak,Lauren Murphy,Blue
Christina Marks,Montana De La Rosa,Blue
Andrew Sanchez,Ryan Janes,Blue
DeAnna Bennett,Melinda Fabian,Draw
Nicco Montano,Roxanne Modafferi,Red
Sean O'Malley,Terrion Ware,Red
Joe Soto,Brett Johns,Blue
Ariel Beck,Shana Dobson,Blue
Karine Gevorgyan,Rachael Ostovich,Blue
Gillian Robertson,Emily Whitmire,Red
Muslim Salikhov,Alex Garcia,Blue
Michael Bisping,Kelvin Gastelum,Blue
Song Yadong,Bharat Kandare,Red
Zabit Magomedsharipov,Sheymon Moraes,Red
Kailin Curran,Yan Xiaonan,Blue
Song Kenan,Bobby Nash,Red
Li Jingliang,Zak Ottow,Red
Wang Guan,Alex Caceres,Red
Wu Yanan,Gina Mazany,Blue
Cyril Asker,Hu Yaozong,Red
Chase Sherman,Shamil Abdurakhimov,Blue
Wuliji Buren,Rolando Dy,Blue
Elias Theodorou,Daniel Kelly,Red
Bec Rawlings,Jessica-Rose Clark,Blue
Jake Matthews,Bojan Velickovic,Red
Tim Means,Belal Muhammad,Blue
Alexander Volkanovski,Shane Young,Red
Ryan Benoit,Ashkan Mokhtarian,Red
Fabricio Werdum,Marcin Tybura,Red
Nik Lentz,Will Brooks,Red
Rashad Coulter,Tai Tuivasa,Blue
Damien Brown,Frank Camacho,Blue
Jenel Lausa,Eric Shelton,Blue
Anthony Hamilton,Adam Wieczorek,Blue
Alex Chambers,Nadia Kassem,Blue
John Dodson,Marlon Moraes,Blue
Raphael Assuncao,Matthew Lopez,Red
Nate Marquardt,Cezar Ferreira,Blue
Matt Brown,Diego Sanchez,Red
Tatiana Suarez,Viviane Pereira,Red
Dustin Poirier,Anthony Pettis,Red
Joe Lauzon,Clay Guida,Blue
Junior Albini,Andrei Arlovski,Blue
Darren Stewart,Karl Roberson,Blue
Angela Hill,Nina Ansaroff,Blue
Sage Northcutt,Michel Quinones,Red
Court McGee,Sean Strickland,Blue
Jake Collier,Marcel Fortuna,Red
Joanna Jedrzejczyk,Rose Namajunas,Blue
Ovince Saint Preux,Corey Anderson,Red
Walt Harris,Mark Godbeer,Blue
Johny Hendricks,Paulo Costa,Blue
Cody Garbrandt,TJ Dillashaw,Blue
James Vick,Joe Duffy,Red
Stephen Thompson,Jorge Masvidal,Red
Michael Bisping,Georges St-Pierre,Blue
Aleksei Oleinik,Curtis Blaydes,Blue
Randy Brown,Mickey Gall,Red
Aiemann Zahabi,Ricardo Ramos,Blue
Thiago Santos,Jack Hermansson,Red
Francisco Trinaldo,Jim Miller,Red
Antonio Carlos Junior,Jack Marshman,Red
Vicente Luque,Niko Price,Red
Derek Brunson,Lyoto Machida,Red
Pedro Munhoz,Rob Font,Red
Demian Maia,Colby Covington,Blue
John Lineker,Marlon Vera,Red
Hacran Dias,Jared Gordon,Blue
Deiveson Figueiredo,Jarred Brooks,Red
Elizeu Zaleski dos Santos,Max Griffin,Red
Marcelo Golm,Christian Colombo,Red
Jan Blachowicz,Devin Clark,Red
Artem Lobov,Andre Fili,Blue
Karolina Kowalkiewicz,Jodie Esquibel,Red
Donald Cerrone,Darren Till,Blue
Sam Alvey,Ramazan Emeev,Blue
Oskar Piechota,Jonathan Wilson,Red
Damian Stasiak,Brian Kelleher,Blue
Marcin Held,Nasrat Haqparast,Red
Salim Touahri,Warlley Alves,Blue
Felipe Arantes,Josh Emmett,Blue
Lina Lansberg,Aspen Ladd,Blue
Mara Romero Borella,Kalindra Faria,Red
Tom Duquesnoy,Cody Stamann,Blue
Fabricio Werdum,Walt Harris,Red
Lando Vannata,Bobby Green,Draw
Beneil Dariush,Evan Dunham,Draw
Demetrious Johnson,Ray Borg,Red
Pearl Gonzalez,Poliana Botelho,Blue
Tony Ferguson,Kevin Lee,Red
John Moraga,Bibulatov Magomed,Red
Matt Schnell,Marco Beltran,Red
Thales Leites,Brad Tavares,Blue
Takanori Gomi,Dong Hyun Ma,Blue
Teruto Ishihara,Rolando Dy,Red
Jussier Formiga,Yuta Sasaki,Red
Syuri Kondo,Chan-Mi Jeon,Red
Claudia Gadelha,Jessica Andrade,Blue
Keita Nakamura,Alex Morono,Red
Gokhan Saki,Henrique da Silva,Red
Ovince Saint Preux,Yushin Okami,Red
Shinsho Anzai,Luke Jumeau,Red
Daichi Abe,Hyun Gyu Lim,Red
Hector Lombard,Anthony Smith,Blue
Mike Perry,Alex Reyes,Red
Kamaru Usman,Sergio Moraes,Red
Gregor Gillespie,Jason Gonzalez,Red
Anthony Hamilton,Daniel Spitz,Blue
Anthony Rocco Martin,Olivier Aubin-Mercier,Blue
Luke Rockhold,David Branch,Red
Justin Ledet,Azunna Anyanwu,Red
Krzysztof Jotko,Uriah Hall,Blue
Jason Saggo,Gilbert Burns,Blue
Neil Magny,Rafael Dos Anjos,Blue
Sara McMann,Ketlen Vieira,Blue
Ilir Latifi,Tyson Pedro,Red
Gavin Tucker,Rick Glenn,Blue
Henry Cejudo,Wilson Reis,Red
Amanda Nunes,Valentina Shevchenko,Red
Sarah Moras,Ashlee Evans-Smith,Red
Jeremy Stephens,Gilbert Melendez,Red
Mitch Clarke,Alex White,Blue
Kajan Johnson,Adriano Martins,Red
Luis Henrique,Arjan Bhullar,Blue
Marion Reneau,Talita Bernardo,Red
Darren Till,Bojan Velickovic,Red
Siyar Bahadurzada,Rob Wilkinson,Red
Michel Prazeres,Mads Burnell,Red
Rustam Khabilov,Desmond Green,Red
Alexander Volkov,Stefan Struve,Red
Leon Edwards,Bryan Barberena,Red
Mairbek Taisumov,Felipe Silva,Red
Francimar Barroso,Aleksandar Rakic,Blue
Mike Santiago,Zabit Magomedsharipov,Blue
Thibault Gouti,Andrew Holbrook,Red
Bojan Mihajlovic,Abdul-Kerim Edilov,Blue
Dustin Ortiz,Hector Sandoval,Red
Alejandro Perez,Andre Soukhamthath,Red
Alan Jouban,Niko Price,Blue
Martin Bravo,Humberto Bandenay,Blue
Randa Markos,Alexa Grasso,Blue
Brad Scott,Jack Hermansson,Blue
Sergio Pettis,Brandon Moreno,Red
Sam Alvey,Rashad Evans,Red
Henry Briones,Rani Yahya,Blue
Alvaro Herrera Mendoza,Jordan Rinaldi,Blue
Joseph Morales,Robert Sanchez,Red
Jose Quinonez,Diego Rivas,Red
Jimi Manuwa,Volkan Oezdemir,Blue
Tyron Woodley,Demian Maia,Red
Ricardo Lamas,Jason Knight,Red
Daniel Cormier,Jon Jones,Draw
Robbie Lawler,Donald Cerrone,Red
Cristiane Justino,Tonya Evinger,Red
Brian Ortega,Renato Moicano,Red
Aljamain Sterling,Renan Barao,Red
Kailin Curran,Aleksandra Albu,Blue
Andre Fili,Calvin Kattar,Blue
Eric Shelton,Jarred Brooks,Blue
Joshua Burkman,Drew Dober,Blue
Dennis Bermudez,Darren Elkins,Blue
Jimmie Rivera,Thomas Almeida,Red
Lyman Good,Elizeu Zaleski dos Santos,Blue
Damian Grabowski,Chase Sherman,Blue
Ryan LaFlare,Alex Oliveira,Blue
Rafael Natal,Eryk Anders,Blue
Patrick Cummins,Gian Villante,Red
Chris Weidman,Kelvin Gastelum,Red
Brian Kelleher,Marlon Vera,Blue
Shane Burgos,Godofredo Pepey,Red
Kyle Bochniak,Jeremy Kennedy,Blue
Timothy Johnson,Junior Albini,Blue
Frankie Perez,Chris Wade,Blue
Danny Roberts,Bobby Nash,Red
Jack Marshman,Ryan Janes,Red
Joanne Calderwood,Cynthia Calvillo,Blue
James Mulheron,Justin Willis,Blue
Alexandre Pantoja,Neil Seery,Red
Gunnar Nelson,Santiago Ponzinibbio,Blue
Khalil Rountree Jr.,Paul Craig,Red
Stevie Ray,Paul Felder,Blue
Brett Johns,Albert Morales,Red
Charlie Ward,Galore Bofando,Blue
Danny Henry,Daniel Teymur,Red
Leslie Smith,Amanda Lemos,Red
Daniel Omielanczuk,Curtis Blaydes,Blue
Thiago Santos,Gerald Meerschaert,Red
Anthony Pettis,Jim Miller,Red
Chad Laprise,Brian Camozzi,Red
Fabricio Werdum,Alistair Overeem,Blue
Travis Browne,Aleksei Oleinik,Blue
Yoel Romero,Robert Whittaker,Blue
Rob Font,Douglas Silva de Andrade,Red
Cody Stamann,Terrion Ware,Red
Jordan Mein,Belal Muhammad,Blue
Trevin Giles,James Bochnovic,Red
Marc Diakiese,Drakkar Klose,Blue
Jared Cannonier,Nick Roehrick,Red
Dhiego Lima,Jesse Taylor,Blue
James Krause,Tom Gallicchio,Red
Michael Johnson,Justin Gaethje,Blue
Jordan Johnson,Marcel Fortuna,Red
Angela Hill,Ashley Yoder,Red
Brad Tavares,Elias Theodorou,Red
Tecia Torres,Juliana Lima,Red
Gray Maynard,Teruto Ishihara,Red
Ed Herman,CB Dollaway,Blue
Michael Chiesa,Kevin Lee,Blue
Vitor Miranda,Marvin Vettori,Blue
BJ Penn,Dennis Siver,Blue
Tim Means,Alex Garcia,Red
Tim Boetsch,Johny Hendricks,Red
Clay Guida,Erik Koch,Red
Felice Herrig,Justine Kish,Red
Joachim Christensen,Dominick Reyes,Blue
Josh Stansbury,Jeremy Kimball,Blue
Devin Powell,Darrell Horcher,Blue
Jared Gordon,Michel Quinones,Red
Anthony Rocco Martin,Johnny Case,Red
Carla Esparza,Maryna Moroz,Red
Alex Caceres,Rolando Dy,Red
Cyril Asker,Walt Harris,Blue
Takanori Gomi,Jon Tuck,Blue
Justin Scoggins,Yuta Sasaki,Blue
Dong Hyun Kim,Colby Covington,Blue
Tarec Saffiedine,Rafael Dos Anjos,Blue
Andrei Arlovski,Marcin Tybura,Blue
Holly Holm,Bethe Correia,Red
Naoki Inoue,Carls John De Tomas,Red
Li Jingliang,Frank Camacho,Red
Kwan Ho Kwak,Russell Doane,Blue
Ji Yeon Kim,Lucie Pudilova,Blue
Ion Cutelaba,Henrique da Silva,Red
Alexander Volkanovski,Mizuto Hirota,Red
Derek Brunson,Daniel Kelly,Red
Luke Jumeau,Dominique Steele,Red
Tim Elliott,Ben Nguyen,Blue
Derrick Lewis,Mark Hunt,Blue
Damien Brown,Vinc Pichel,Blue
Dan Hooker,Ross Pearson,Red
John Moraga,Ashkan Mokhtarian,Red
Kiichi Kunimoto,Zak Ottow,Blue
JJ Aldrich,Chan-Mi Jeon,Red
Raphael Assuncao,Marlon Moraes,Red
Paulo Costa,Oluwale Bamgbose,Red
Jose Aldo,Max Holloway,Blue
Vitor Belfort,Nate Marquardt,Red
Antonio Carlos Junior,Eric Spicely,Red
Johnny Eduardo,Matthew Lopez,Blue
Erick Silva,Yancy Medeiros,Blue
Claudia Gadelha,Karolina Kowalkiewicz,Red
Viviane Pereira,Jamie Moyle,Red
Iuri Alcantara,Brian Kelleher,Blue
Marco Beltran,Deiveson Figueiredo,Blue
Luan Chagas,Jim Wallhead,Red
Pedro Munhoz,Damian Stasiak,Red
Abdul Razak Alhassan,Omari Akhmedov,Blue
Volkan Oezdemir,Misha Cirkunov,Red
Oliver Enkamp,Nordine Taleb,Blue
Jack Hermansson,Alex Nicholson,Red
Alexander Gustafsson,Glover Teixeira,Red
Trevor Smith,Chris Camozzi,Red
Nicholas Musoke,Bojan Velickovic,Blue
Darren Till,Jessin Ayari,Red
Reza Madadi,Joaquim Silva,Blue
Peter Sobotta,Ben Saunders,Red
Marcin Held,Damir Hadzovic,Blue
Demian Maia,Jorge Masvidal,Red
Krzysztof Jotko,David Branch,Blue
Stipe Miocic,Junior Dos Santos,Red
Eddie Alvarez,Dustin Poirier,Draw
Chas Skelly,Jason Knight,Blue
Chase Sherman,Rashad Coulter,Red
Frankie Edgar,Yair Rodriguez,Red
Joanna Jedrzejczyk,Jessica Andrade,Red
Jessica Aguilar,Cortney Casey,Blue
Joachim Christensen,Gadzhimurad Antigulov,Blue
James Vick,Marco Polo Reyes,Red
Gabriel Benitez,Enrique Barzola,Blue
Thales Leites,Sam Alvey,Red
Dustin Ortiz,Brandon Moreno,Blue
Cub Swanson,Artem Lobov,Red
John Dodson,Eddie Wineland,Red
Ovince Saint Preux,Marcos Rogerio de Lima,Red
Al Iaquinta,Diego Sanchez,Red
Joe Lauzon,Stevie Ray,Blue
Jake Ellenberger,Mike Perry,Blue
Hector Sandoval,Matt Schnell,Red
Jessica Penne,Danielle Taylor,Blue
Scott Holtzman,Michael McBride,Red
Alexis Davis,Cindy Dandois,Red
Bryan Barberena,Joe Proctor,Red
Demetrious Johnson,Wilson Reis,Red
Louis Smolka,Tim Elliott,Blue
Jacare Souza,Robert Whittaker,Blue
Patrick Williams,Tom Duquesnoy,Blue
Rose Namajunas,Michelle Waterson,Red
Jeremy Stephens,Renato Moicano,Blue
Bobby Green,Rashid Magomedov,Blue
Alexander Volkov,Roy Nelson,Red
Aljamain Sterling,Augusto Mendes,Red
Devin Clark,Jake Collier,Red
Ashlee Evans-Smith,Ketlen Vieira,Blue
Zak Cummings,Nathan Coy,Red
Anthony Smith,Andrew Sanchez,Red
Kamaru Usman,Sean Strickland,Red
Chris Weidman,Gegard Mousasi,Blue
Myles Jury,Mike de la Torre,Red
Shane Burgos,Charles Rosa,Red
Will Brooks,Charles Oliveira,Blue
Thiago Alves,Patrick Cote,Red
Cynthia Calvillo,Pearl Gonzalez,Red
Gregor Gillespie,Andrew Holbrook,Red
Daniel Cormier,Anthony Johnson,Red
Patrick Cummins,Jan Blachowicz,Red
Jenel Lausa,Bibulatov Magomed,Blue
Josh Emmett,Desmond Green,Blue
Katlyn Chookagian,Irene Aldana,Red
Leon Edwards,Vicente Luque,Red
Daniel Omielanczuk,Timothy Johnson,Blue
Darren Stewart,Francimar Barroso,Blue
Gunnar Nelson,Alan Jouban,Red
Jimi Manuwa,Corey Anderson,Red
Joe Duffy,Reza Madadi,Red
Arnold Allen,Makwan Amirkhani,Red
Brad Pickett,Marlon Vera,Blue
Brad Scott,Scott Askham,Red
Marc Diakiese,Teemu Packalen,Red
Lina Lansberg,Lucie Pudilova,Red
Bethe Correia,Marion Reneau,Draw
Alex Oliveira,Tim Means,Red
Vitor Belfort,Kelvin Gastelum,Draw
Edson Barboza,Beneil Dariush,Red
Mauricio Rua,Gian Villante,Red
Francisco Trinaldo,Kevin Lee,Blue
Jussier Formiga,Ray Borg,Blue
Sergio Moraes,Davi Ramos,Red
Michel Prazeres,Joshua Burkman,Red
Rani Yahya,Joe Soto,Blue
Rony Jason,Jeremy Kennedy,Blue
Garreth McLellan,Paulo Costa,Blue
Amanda Cooper,Cynthia Calvillo,Blue
Rashad Evans,Daniel Kelly,Blue
Iuri Alcantara,Luke Sanders,Red
Lando Vannata,David Teymur,Blue
Marcin Tybura,Luis Henrique,Red
Mirsad Bektic,Darren Elkins,Blue
Tyron Woodley,Stephen Thompson,Red
Alistair Overeem,Mark Hunt,Red
Albert Morales,Andre Soukhamthath,Red
Tyson Pedro,Paul Craig,Red
Mark Godbeer,Daniel Spitz,Red
Derrick Lewis,Travis Browne,Red
Sam Sicilia,Gavin Tucker,Blue
Elias Theodorou,Cezar Ferreira,Red
Carla Esparza,Randa Markos,Blue
Sara McMann,Gina Mazany,Red
Nordine Taleb,Santiago Ponzinibbio,Blue
Johny Hendricks,Hector Lombard,Red
Paul Felder,Alex Ricci,Red
Jack Marshman,Thiago Santos,Blue
Gerald Meerschaert,Ryan Janes,Red
Aiemann Zahabi,Reginaldo Vieira,Red
Jacare Souza,Tim Boetsch,Red
Glover Teixeira,Jared Cannonier,Red
Holly Holm,Germaine de Randamie,Blue
Dustin Poirier,Jim Miller,Red
Wilson Reis,Yuta Sasaki,Red
Anderson Silva,Derek Brunson,Red
Randy Brown,Belal Muhammad,Blue
Nik Lentz,Islam Makhachev,Blue
Rick Glenn,Phillipe Nover,Red
Ryan LaFlare,Roan Carneiro,Red
Jessica Andrade,Angela Hill,Red
Chas Skelly,Chris Gruetzemacher,Red
Abel Trujillo,James Vick,Blue
Anthony Hamilton,Marcel Fortuna,Blue
Adam Milstead,Curtis Blaydes,Draw
Ovince Saint Preux,Volkan Oezdemir,Blue
Alexa Grasso,Felice Herrig,Blue
Dennis Bermudez,Chan Sung Jung,Blue
Ricardo Ramos,Michinori Tanaka,Red
Tecia Torres,Bec Rawlings,Red
Daniel Jolly,Khalil Rountree Jr.,Blue
Alex Morono,Niko Price,Draw
Alex Caceres,Jason Knight,Blue
Henrique da Silva,Jordan Johnson,Blue
Bobby Nash,Li Jingliang,Blue
Nate Marquardt,Sam Alvey,Blue
Valentina Shevchenko,Julianna Pena,Red
Donald Cerrone,Jorge Masvidal,Blue
Andrei Arlovski,Francis Ngannou,Blue
Raphael Assuncao,Aljamain Sterling,Red
Eric Spicely,Alessio Di Chirico,Red
Alexandre Pantoja,Eric Shelton,Red
Marcos Rogerio de Lima,Jeremy Kimball,Red
Jason Gonzalez,JC Cottrell,Red
Frankie Saenz,Augusto Mendes,Blue
Joe Lauzon,Marcin Held,Red
John Moraga,Sergio Pettis,Blue
Anthony Rocco Martin,Alex White,Red
Aleksei Oleinik,Viktor Pesta,Red
Devin Powell,Drakkar Klose,Blue
Court McGee,Ben Saunders,Blue
Yair Rodriguez,BJ Penn,Red
Bojan Mihajlovic,Joachim Christensen,Blue
Walt Harris,Chase Sherman,Red
Dmitrii Smoliakov,Cyril Asker,Blue
Jocelyn Jones-Lybarger,Nina Ansaroff,Blue
Dong Hyun Kim,Tarec Saffiedine,Red
Louis Smolka,Ray Borg,Blue
TJ Dillashaw,John Lineker,Red
Amanda Nunes,Ronda Rousey,Red
Johny Hendricks,Neil Magny,Blue
Mike Pyle,Alex Garcia,Blue
Antonio Carlos Junior,Marvin Vettori,Red
Dominick Cruz,Cody Garbrandt,Blue
Alex Oliveira,Tim Means,Draw
Brandon Thatch,Niko Price,Blue
Paige VanZant,Michelle Waterson,Blue
Alan Jouban,Mike Perry,Red
Henrique da Silva,Paul Craig,Blue
James Moontasri,Alex Morono,Blue
Cole Miller,Mizuto Hirota,Blue
Bryan Barberena,Colby Covington,Blue
Sage Northcutt,Mickey Gall,Blue
Urijah Faber,Brad Pickett,Red
Josh Emmett,Scott Holtzman,Red
Eddie Wineland,Takeya Mizugaki,Red
Leslie Smith,Irene Aldana,Red
Hector Sandoval,Fredy Serrano,Red
Bojan Velickovic,Sultan Aliev,Blue
Donald Cerrone,Matt Brown,Red
Cub Swanson,Dooho Choi,Red
Jordan Mein,Emil Meek,Blue
Max Holloway,Anthony Pettis,Red
Valerie Letourneau,Viviane Pereira,Blue
Nikita Krylov,Misha Cirkunov,Blue
Olivier Aubin-Mercier,Drew Dober,Red
Tim Kennedy,Kelvin Gastelum,Blue
Mitch Gagnon,Matthew Lopez,Blue
Zach Makovsky,Dustin Ortiz,Blue
John Makdessi,Lando Vannata,Blue
Jason Saggo,Rustam Khabilov,Blue
Andrew Sanchez,Trevor Smith,Red
Francis Ngannou,Anthony Hamilton,Red
Randy Brown,Brian Camozzi,Red
Corey Anderson,Sean O'Connell,Red
Joseph Gigliotti,Gerald Meerschaert,Blue
Gian Villante,Saparbeg Safarov,Red
Derrick Lewis,Shamil Abdurakhimov,Red
Justine Kish,Ashley Yoder,Red
Tiago dos Santos e Silva,Shane Burgos,Blue
Frankie Perez,Marc Diakiese,Blue
Juliana Lima,JJ Aldrich,Red
Keith Berish,Ryan Janes,Blue
Jake Ellenberger,Jorge Masvidal,Blue
Sara McMann,Alexis Davis,Red
Ion Cutelaba,Jared Cannonier,Blue
Demetrious Johnson,Tim Elliott,Red
Gray Maynard,Ryan Hall,Blue
Rob Font,Matt Schnell,Red
Joseph Benavidez,Henry Cejudo,Red
Brandon Moreno,Ryan Benoit,Red
Kailin Curran,Jamie Moyle,Blue
Josh Stansbury,Devin Clark,Blue
Elvis Mutapcic,Anthony Smith,Blue
Dong Hyun Ma,Brendan O'Reilly,Red
Daniel Kelly,Chris Camozzi,Red
Khalil Rountree Jr.,Tyson Pedro,Blue
Kyle Noke,Omari Akhmedov,Blue
Yusuke Kasuya,Alexander Volkanovski,Blue
Damien Brown,Jon Tuck,Red
Jake Matthews,Andrew Holbrook,Blue
Seo Hee Ham,Danielle Taylor,Blue
Robert Whittaker,Derek Brunson,Red
Richard Walsh,Jonathan Meunier,Blue
Dan Hooker,Jason Knight,Blue
Marlon Vera,Guangyou Ning,Red
Ben Nguyen,Geane Herrera,Red
Yao Zhikui,Jenel Lausa,Blue
Marcos Rogerio de Lima,Gadzhimurad Antigulov,Blue
Cezar Ferreira,Jack Hermansson,Red
Sergio Moraes,Zak Ottow,Red
Claudia Gadelha,Cortney Casey,Red
Thomas Almeida,Albert Morales,Red
Warlley Alves,Kamaru Usman,Blue
Thales Leites,Krzysztof Jotko,Blue
Ryan Bader,Rogerio Nogueira,Red
Francimar Barroso,Darren Stewart,Draw
Luis Henrique,Christian Colombo,Red
Johnny Eduardo,Manvel Gamburyan,Red
Pedro Munhoz,Justin Scoggins,Red
Kevin Lee,Magomed Mustafaev,Red
Magnus Cedenblad,Jack Marshman,Blue
Artem Lobov,Teruto Ishihara,Red
Kyoji Horiguchi,Ali Bagautinov,Red
Ross Pearson,Stevie Ray,Blue
Anna Elmose,Amanda Cooper,Blue
Gegard Mousasi,Uriah Hall,Red
Timothy Johnson,Alexander Volkov,Blue
Zak Cummings,Alexander Yakovlev,Red
Marion Reneau,Milana Dudieva,Red
Justin Ledet,Mark Godbeer,Red
Brett Johns,Kwan Ho Kwak,Red
Charlie Ward,Abdul Razak Alhassan,Blue
Tyron Woodley,Stephen Thompson,Draw
Khabib Nurmagomedov,Michael Johnson,Red
Frankie Edgar,Jeremy Stephens,Red
Rafael Natal,Tim Boetsch,Blue
Chris Weidman,Yoel Romero,Blue
Miesha Tate,Raquel Pennington,Blue
Eddie Alvarez,Conor McGregor,Blue
Vicente Luque,Belal Muhammad,Red
Joanna Jedrzejczyk,Karolina Kowalkiewicz,Red
Jim Miller,Thiago Alves,Red
Liz Carmouche,Katlyn Chookagian,Red
Marco Beltran,Joe Soto,Blue
Ricardo Lamas,Charles Oliveira,Red
Beneil Dariush,Rashid Magomedov,Red
Martin Bravo,Claudio Puelles,Red
Diego Sanchez,Marcin Held,Red
Rafael Dos Anjos,Tony Ferguson,Blue
Erik Perez,Felipe Arantes,Red
Alexa Grasso,Heather Clark,Red
Erick Montano,Max Griffin,Blue
Sam Alvey,Alex Nicholson,Red
Henry Briones,Douglas Silva de Andrade,Blue
Marco Polo Reyes,Jason Novelli,Red
Enrique Barzola,Chris Avila,Red
Brad Pickett,Iuri Alcantara,Blue
Vitor Belfort,Gegard Mousasi,Blue
Leon Edwards,Albert Tumenov,Red
Davey Grant,Damian Stasiak,Blue
Ovince Saint Preux,Jimi Manuwa,Blue
Michael Bisping,Dan Henderson,Red
Mirsad Bektic,Russell Doane,Red
Stefan Struve,Daniel Omielanczuk,Red
Lukasz Sajewski,Marc Diakiese,Blue
Leonardo Santos,Adriano Martins,Red
Danny Roberts,Mike Perry,Blue
Shamil Abdurakhimov,Walt Harris,Red
Henrique da Silva,Joachim Christensen,Red
Joshua Burkman,Zak Ottow,Blue
Will Brooks,Alex Oliveira,Blue
Hacran Dias,Andre Fili,Blue
John Lineker,John Dodson,Red
Keita Nakamura,Elizeu Zaleski dos Santos,Blue
Nate Marquardt,Tamdan McCrory,Red
Louis Smolka,Brandon Moreno,Blue
Cody East,Curtis Blaydes,Blue
