R_fighter,B_fighter,Winner
Josh Parisian,Parker Porter,Blue
Anthony Smith,Devin Clark,Red
Spike Carlyle,Bill Algeo,Blue
Martin Day,Anderson Dos Santos,Blue
Luke Sanders,Nate Maness,Blue
Gina Mazany,Rachael Ostovich,Red
Su Mudaerji,Malcolm Gordon,Red
Brandon Moreno,Brandon Royval,Red
Joaquin Buckley,Jordan Wright,Red
Katlyn Chookagian,Cynthia Calvillo,Red
Antonina Shevchenko,Ariane Lipski,Red
Valentina Shevchenko,Jennifer Maia,Red
Deiveson Figueiredo,Alex Perez,Red
Mauricio Rua,Paul Craig,Blue
Mike Perry,Tim Means,Blue
Alan Jouban,Jared Gooden,Red
Daniel Rodriguez,Nicolas Dalby,Blue
Louis Cosce,Sasha Palatnikov,Blue
Kyle Daukaus,Dustin Stoltzfus,Red
Ashley Yoder,Miranda Granger,Red
Kay Hansen,Cory McKenna,Blue
Randa Markos,Kanako Murata,Blue
Brendan Allen,Sean Strickland,Blue
Geraldo de Freitas,Tony Gravely,Blue
Alex Morono,Rhys McKee,Red
Abdul Razak Alhassan,Khaos Williams,Blue
Paul Felder,Rafael Dos Anjos,Blue
Don'Tale Mayes,Roque Martinez,Red
Thiago Santos,Glover Teixeira,Blue
Andrei Arlovski,Tanner Boser,Red
Alexandr Romanov,Marcos Rogerio de Lima,Red
Claudia Gadelha,Yan Xiaonan,Blue
Darren Elkins,Eduardo Garagorri,Red
Giga Chikadze,Jamey Simmons,Red
Raoni Barcelos,Khalid Taha,Red
Trevin Giles,Bevon Lewis,Red
Gustavo Lopez,Anthony Birchak,Red
Max Griffin,Ramiz Brahimaj,Red
Chris Gruetzemacher,Alexander Hernandez,Blue
Adrian Yanez,Victor Rodriguez,Red
Maurice Greene,Greg Hardy,Blue
Sean Strickland,Jack Marshman,Red
Bobby Green,Thiago Moises,Blue
Kevin Holland,Charlie Ontiveros,Red
Uriah Hall,Anderson Silva,Red
Bryce Mitchell,Andre Fili,Red
Dustin Jacoby,Justin Ledet,Red
Cole Williams,Jason Witt,Blue
Miles Johns,Kevin Natividad,Red
Jacob Malkoun,Phil Hawes,Blue
Alexander Volkov,Walt Harris,Red
Magomed Ankalaev,Ion Cutelaba,Red
Stefan Struve,Tai Tuivasa,Blue
Robert Whittaker,Jared Cannonier,Red
Lauren Murphy,Liliya Shakirova,Red
Khabib Nurmagomedov,Justin Gaethje,Red
Nathaniel Wood,Casey Kenney,Blue
Joel Alvarez,Alexander Yakovlev,Red
Liana Jojua,Miranda Maverick,Blue
Da-Un Jung,Sam Alvey,Draw
Alex Oliveira,Shavkat Rakhmonov,Blue
Katlyn Chookagian,Jessica Andrade,Blue
Thomas Almeida,Jonathan Martinez,Blue
Jimmy Crute,Modestas Bukauskas,Red
Mateusz Gamrot,Guram Kutateladze,Blue
Junyong Park,John Phillips,Red
Gillian Robertson,Poliana Botelho,Red
Claudio Silva,James Krause,Blue
Brian Ortega,Chan Sung Jung,Red
Gadzhimurad Antigulov,Maxim Grishin,Blue
Said Nurmagomedov,Mark Striegl,Red
Jamie Mullarkey,Fares Ziam,Blue
Marlon Moraes,Cory Sandhagen,Blue
Tom Breese,KB Bhullar,Red
Chris Daukaus,Rodrigo Nascimento,Red
Markus Perez,Dricus Du Plessis,Blue
Ben Rothwell,Marcin Tybura,Blue
Youssef Zalal,Ilia Topuria,Blue
Tom Aspinall,Alan Baudot,Red
Edson Barboza,Makwan Amirkhani,Red
Impa Kasanganay,Joaquin Buckley,Blue
Giga Chikadze,Omar Morales,Red
Ali AlQaisi,Tony Kelley,Blue
Tracy Cortez,Stephanie Egger,Red
Bruno Silva,Tagir Ulanbekov,Blue
Carlos Condit,Court McGee,Red
Dequan Townsend,Dusko Todorovic,Blue
Charles Jourdain,Josh Culibao,Draw
Germaine de Randamie,Julianna Pena,Red
Kyler Phillips,Cameron Else,Red
Holly Holm,Irene Aldana,Red
Yorgan De Castro,Carlos Felipe,Blue
Jordan Williams,Nassourdine Imavov,Blue
Loma Lookboonmee,Jinh Yu Frey,Red
Casey Kenney,Heili Alateng,Red
Luigi Vendramini,Jessin Ayari,Red
Ketlen Vieira,Sijara Eubanks,Red
Israel Adesanya,Paulo Costa,Red
Kai Kara-France,Brandon Royval,Blue
